,bday,bio,country,isFam,isPol,midname,money,name,profession,surname
69,1954-07-17,"Angela Dorothea Merkel (</span>/</span></span>; ; née Kasner, born 17 July 1954) is a German politician serving as Chancellor of Germany since 2005 and leader of the centre-right Christian Democratic Union (CDU) since 2000. Merkel has been widely described as the de facto leader of the European Union, the most powerful woman in the world, and the leader of the Free World.
",GERMANY,1,1,Dorothea,0.0,Angela,,Merkel
70,1952-10-07,"Vladimir Vladimirovich Putin (</span>/</span></span>; Russian: , ; born 7 October 1952) is a Russian politician and former intelligence officer serving as President of Russia since 2012, previously holding the position from 2000 until 2008. In between his presidential terms he was also the Prime Minister of Russia under his close associate Dmitry Medvedev.
",RUSSIAN FEDERATION,1,1,ovich,0.0,Vladimir,,Putin
71,NA,NA,,1,0,NA,NA,Stefani Lady Gaga,NA,Germanotta
72,NA,NA,,0,1,NA,NA,Susanne,NA,Zaccaria
73,NA,NA,,0,0,NA,NA,Marlene,NA,Simoes
74,NA,NA,,0,1,NA,NA,David,NA,Boulaz
75,NA,NA,,0,0,NA,NA,Daniele,NA,Frossard
76,1941-05-24,"Bob Dylan (born Robert Allen Zimmerman, May 24, 1941) is an American singer-songwriter, author, and artist who has been an influential figure in popular music and culture for more than five decades. Much of his most celebrated work dates from the 1960s, when he became a reluctant ""voice of a generation"" with songs such as ""Blowin' in the Wind"" and ""The Times They Are a-Changin'"" which became anthems for the Civil Rights Movement and anti-war movement. In 1965, he controversially ""went electric"", branching out from his earlier work and alienating some fans of the American folk music revival, recording a six-minute single, ""Like a Rolling Stone"", which enlarged the scope of popular music.
",UNITED STATES,1,0,,0.0,Bob,"Singer-songwriter, artist, writer",Dylan
77,NA,NA,,0,1,NA,NA,Jean-Jacques,NA,Aubert
78,1958-01-26,"Ellen Lee DeGeneres (</span>/</span></span> <i title=""English pronunciation respelling"">də--ər-əs; born January 26, 1958) is an American comedian, television host, actress, writer, producer, and LGBT activist. She starred in the popular sitcom Ellen from 1994 to 1998 and has hosted her syndicated TV talk show, The Ellen DeGeneres Show, since 2003.
",UNITED KINGDOM,1,0,Lee,0.0,Ellen,,DeGeneres
79,1979-07-23,"Alessandro Agostini (born 23 July 1979) is an Italian retired footballer who played as a defender.
",ITALY,0,0,,0.0,Alessandro,,Agostini
80,1975-08-07,"Charlize Theron (</span> <wbr/></span>/</span></span> <i title=""English pronunciation respelling"">shar- -ən; ; born 7 August 1975) is a South African-American actress and film producer. She is the recipient of several accolades, including an Academy Award, a Golden Globe Award, and the Silver Bear for Best Actress.
",UNITED KINGDOM,1,0,,0.0,Charlize,"Actress, Producer",Theron
81,1874-11-30,"Sir Winston Leonard Spencer-Churchill (30 November 1874 – 24 January 1965) was a British politician, statesman, army officer, and writer, who was Prime Minister of the United Kingdom from 1940 to 1945 and again from 1951 to 1955. As Prime Minister, Churchill led Britain to victory in the Second World War. Churchill represented five constituencies during his career as Member of Parliament (MP). Ideologically an economic liberal and British imperialist, he began and ended his parliamentary career as a member of the Conservative Party, which he led from 1940 to 1955, but for twenty years from 1904 he was a prominent member of the Liberal Party.
",UNITED KINGDOM,1,1,Sir  Leonard Spencer-,0.0,Winston,,Churchill
82,NA,NA,,0,1,NA,NA,Christian,NA,Burdet
83,1990-08-15,"Jennifer Shrader Lawrence (born August 15, 1990) is an American actress. Her films have grossed over $5.7 billion worldwide, and she was the highest-paid actress in the world in 2015 and 2016. Lawrence appeared in Time 100 most influential people in the world list in 2013 and in the Forbes Celebrity 100 list in 2014 and 2016.
",UNITED STATES,1,0,Shrader,0.0,Jennifer,Actress,Lawrence
84,NA,NA,,0,0,NA,NA,Anne-Florence,NA,Bitbol
85,1937-06-01,"Morgan Freeman (born June 1, 1937) is an American actor, producer, and narrator. Freeman won an Academy Award in 2005 for Best Supporting Actor with Million Dollar Baby (2004), and he has received Oscar nominations for his performances in Street Smart (1987), Driving Miss Daisy (1989), The Shawshank Redemption (1994), and Invictus (2009). He has also won a Golden Globe Award and a Screen Actors Guild Award.
",UNITED STATES,1,0,,0.0,Morgan,Actor,Freeman
86,1969-02-11,"Jennifer Joanna Aniston (born February 11, 1969) is an American actress, film producer, and businessperson. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow. Aniston gained worldwide recognition for portraying Rachel Green on the television sitcom Friends (1994–2004), a role which earned her a Primetime Emmy Award, a Golden Globe Award, and a Screen Actors Guild Award (SAG). The character was widely popular during the airing of the series and was later recognized as one of the greatest female characters in American television.
",UNITED STATES,1,0,Joanna,0.0,Jennifer,"Actress, film producer, businessperson",Aniston
87,1952-10-27,"Roberto Remigio Benigni,  (; born 27 October 1952) is an Italian actor, comedian, screenwriter and director.  He co-wrote, directed and acted in the 1997 film Life Is Beautiful, which won him the Academy Award for Best Actor at the 71st Oscars Ceremony. He also portrayed Inspector Clouseau's son in Son of the Pink Panther (1993) and has collaborated with filmmaker Jim Jarmusch in three of his films: Down by Law (1986), Night on Earth (1991) and Coffee and Cigarettes (2003).
",ITALY,1,0,Remigio,0.0,Roberto,"Film director, screenwriter, actor, comedian",Benigni
88,NA,NA,,0,1,NA,NA,Elise,NA,Buckle
89,1990-04-15,"Emma Charlotte Duerre Watson (born 15 April 1990) is an English actress, model, and activist. Born in Paris and brought up in Oxfordshire, Watson attended the Dragon School and trained as an actress at the Oxford branch of Stagecoach Theatre Arts. As a child artist, she rose to prominence after landing her first professional acting role as Hermione Granger in the Harry Potter film series, having acted only in school plays previously. Watson appeared in all eight Harry Potter films from 2001 to 2011, earning worldwide fame, critical accolades, and around $60 million.
",UNITED KINGDOM,1,0,Charlotte Duerre,0.0,Emma,"Actress, model, activist",Watson
90,1983-01-08,"Kim Jong-un (officially transcribed Kim Jong Un; Chosŏn'gŭl: ; ; born 8 January 1983) is a North Korean politician serving as Supreme Leader of North Korea since 2011 and Leader of the Workers' Party of Korea since 2012. Kim is the second child of Kim Jong-il (1941–2011) and Ko Yong-hui (1952–2004). The grandson of Kim Il-sung, the first leader of North Korea from 1948 to 1994, he is the first North Korean leader to have been born after the country's founding.
",DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,1,1,,0.0,Kim,,Jong-un
91,1961-08-04,"Barack Hussein Obama II (</span> <wbr/></span> <wbr/></span>/</span></span>; born August 4, 1961) is an American politician who served as the 44th President of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African American to be elected to the presidency and previously served as a United States Senator from Illinois (2005–2008).
",UNITED STATES,1,1,Hussein  II,0.0,Barack,,Obama
